name;manufacturer;serving_size;energy_kcal;protein_g;carbohydrate_g;fat_g;sugar_g;sodium_mg;fiber_g;energy_percentage_dv;protein_percentage_dv;carbohydrate_percentage_dv;fat_percentage_dv;sodium_percentage_dv;Lemak jenuh;Natrium;Protein;Karbohidrat total;Energi;Lemak total;Serat pangan;Column1;Column2;Column3;Column4
Cumi-cumi goreng;Tidak Diketahui;3.10 g;265.0;40.6;0.0;10.1;0.0;86.0;0.0;12.33;67.67;0.0;15.07;5.73;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
Melinjo emping tipis goreng;Tidak Diketahui;1.50 g;485.0;11.5;59.1;24.5;0.0;0.0;0.0;22.56;19.17;18.18;36.57;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
Apem; kue;Tidak Diketahui;0.50 g;148.0;2.0;33.9;0.5;0.0;0.0;0.0;6.88;3.33;10.43;0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;
Beef teriyaki;Tidak Diketahui;0.90 g;151.0;8.6;22.3;3.1;0.0;377.0;0.3;7.02;14.33;6.86;4.63;25.13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
Saori Saus Tiram;Tidak Diketahui;0 g;5.0;0.0;2.0;0.0;0.0;290.0;0.0;0.23;0.0;0.62;0.0;19.33;0.0;20.0;0.0;1.0;1.0;0.0;0.0;;;;
Ketan hitam; tapai;Tidak Diketahui;0.60 g;166.0;3.8;34.4;1.0;0.0;5.0;0.3;7.72;6.33;10.58;1.49;0.33;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;
Gete kuah asam; masakan;Tidak Diketahui;3.80 g;75.0;8.2;6.0;2.0;0.0;260.0;0.0;3.49;13.67;1.85;2.99;17.33;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;
Duwet; segar;Tidak Diketahui;0.50 g;80.0;0.5;18.2;0.6;0.0;16.0;0.9;3.72;0.83;5.6;0.9;1.07;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;
Mie Lemonilo ayam bawang;PT. Lemonilo Indonesia Sehat;3 g;267.0;9.0;49.0;4.0;1.0;948.0;3.0;12.42;15.0;15.08;5.97;63.2;0.0;64.0;15.0;16.0;0.0;0.0;0.0;;;;
Bouiki ninahu nggaluku; masakan;Tidak Diketahui;5.30 g;94.0;7.8;10.8;2.2;0.0;58.0;0.0;4.37;13.0;3.32;3.28;3.87;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;
Coklat pahit batang;Tidak Diketahui;10.10 g;615.0;5.5;29.2;42.6;0.0;20.0;10.8;28.6;9.17;8.98;63.58;1.33;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
Supermi ayam Bawang;PT. Indofood CBP Sukses Makmur Tbk;4 g;130.0;7.0;46.0;15.0;2.0;1030.0;4.0;15.81;11.67;14.15;22.39;68.67;40.0;69.0;0.0;0.0;0.0;23.0;0.0;;;;
Coco pops;Tidak Diketahui;1 g;120.0;2.0;26.0;0.5;12.0;0.0;1.0;5.58;3.33;8.0;0.75;0.0;0.0;0.0;4.0;8.0;6.0;0.0;0.0;;;;
Buah naga merah; segar;Tidak Diketahui;0.40 g;71.0;1.7;9.1;3.1;0.0;10.0;3.2;3.3;2.83;2.8;4.63;0.67;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;
Gulai keumamah; masakan;Tidak Diketahui;1.30 g;110.0;5.9;3.2;8.2;0.0;335.0;0.0;5.12;9.83;0.98;12.24;22.33;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;
Ampas tahu kukus;Tidak Diketahui;0.60 g;75.0;4.1;10.7;2.1;0.0;0.0;5.1;3.49;6.83;3.29;3.13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
Cold Stone Creamery chocolate Devotion;Tidak Diketahui;3 g;870.0;13.0;108.0;45.0;91.0;0.0;3.0;40.47;21.67;33.23;67.16;0.0;0.0;0.0;0.0;34.0;41.0;68.0;0.0;;;;
Lepok / Ubi rumput;Tidak Diketahui;0.90 g;181.0;2.8;39.8;1.2;0.0;116.0;10.7;8.42;4.67;12.25;1.79;7.73;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
Rajungan; segar;Tidak Diketahui;2.70 g;76.0;12.1;2.4;2.0;0.0;69.0;0.0;3.53;20.17;0.74;2.99;4.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;
Permen mentos peppermint;Tidak Diketahui;0 g;5.0;0.0;1.0;0.0;0.0;0.0;0.0;0.23;0.0;0.31;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;;;;
Pop mie kuah pedes dower;PT. Indofood CBP Sukses Makmur Tbk.;3 g;360.0;6.0;46.0;16.0;4.0;0.0;3.0;16.74;10.0;14.15;23.88;0.0;0.0;0.0;0.0;15.0;17.0;24.0;0.0;;;;
Ketimun madura; segar;Tidak Diketahui;0.40 g;9.0;0.5;1.9;0.1;0.0;2.0;0.7;0.42;0.83;0.58;0.15;0.13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;
Getuk goreng;Tidak Diketahui;1.50 g;360.0;1.3;74.3;6.4;0.0;0.0;0.8;16.74;2.17;22.86;9.55;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
